"","word","Sociability_dict","Morality_dict","Ability_dict","Assertiveness_dict","health_dict","Status_dict","occupation_dict","Politics_dict","Religion_dict","beliefsother_dict","inhabitant_dict","country_dict","emotions_dict","relative_dict","clothing_dict","deviance_dict","bodpart_dict","bodprop_dict","skin_dict","bodcov_dict","beauty_dict","insults_dict","stem_dict","humanities_dict","art_dict","socialgroups_dict","Lacksknowledge_dict","fortune_dict","Sociability_dict_hi","Sociability_dict_lo","Morality_dict_hi","Morality_dict_lo","Ability_dict_hi","Ability_dict_lo","Assertiveness_dict_hi","Assertiveness_dict_lo","Status_dict_hi","Status_dict_lo","Politics_dict_hi","Politics_dict_lo","Religion_dict_hi","Religion_dict_lo","Beauty_dict_hi","Beauty_dict_lo","Health_dict_hi","Health_dict_lo","Warmth_dict","Competence_dict","Beliefs_dict","Beliefs_dict_ABC","Geography_dict","Appearance_dict","Warmth_dict_hi","Competence_dict_hi","Beliefs_dict_hi","Beliefs_dict_ABC_hi","Warmth_dict_lo","Competence_dict_lo","Beliefs_dict_lo","Beliefs_dict_ABC_lo","Other_large_dict","Other_dict","Sociability_dict_Pos","Morality_dict_Pos","Ability_dict_Pos","Assertiveness_dict_Pos","health_dict_Pos","Status_dict_Pos","occupation_dict_Pos","Politics_dict_Pos","Religion_dict_Pos","beliefsother_dict_Pos","emotions_dict_Pos","deviance_dict_Pos","socialgroups_dict_Pos","Lacksknowledge_dict_Pos","Warmth_dict_Pos","Competence_dict_Pos","Beliefs_dict_Pos","Geography_dict_Pos","Appearance_dict_Pos","Other_dict_Pos","Sociability_dict_Neg","Morality_dict_Neg","Ability_dict_Neg","Assertiveness_dict_Neg","health_dict_Neg","Status_dict_Neg","occupation_dict_Neg","Politics_dict_Neg","Religion_dict_Neg","beliefsother_dict_Neg","emotions_dict_Neg","deviance_dict_Neg","socialgroups_dict_Neg","Lacksknowledge_dict_Neg","Warmth_dict_Neg","Competence_dict_Neg","Beliefs_dict_Neg","Geography_dict_Neg","Appearance_dict_Neg","Other_dict_Neg","Sociability_dir","Morality_dir","Ability_dir","Assertiveness_dir","health_dir","Status_dir","work_dir_dummy","Politics_dir","Religion_dir","beliefsother_dir_dummy","deviance_dir","beauty_dir","Warmth_dir","Competence_dir","Beliefs_dir","Beliefs_dir_ABC","PosScore","NegScore","NeuScore","Val_bing","Val_NRC","Val_afinn","Val_loughran","Val_sentiwn","Val_bing2","Val_NRC2","Val_afinn2","Val_loughran2","Val_sentiwn2","Val_SWN","Val"
"1","aa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"2","ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"3","aba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"4","abandon",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0.06,0.38,0.56,NA,-1,-0.4,-1,-0.196428571,NA,-1,-0.4,-1,-0.066964286,-0.32,-0.68
"5","abandonedinfant",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"6","abase",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.62,0.38,NA,NA,NA,NA,-0.625,NA,NA,NA,NA,-0.625,-0.62,-0.62
"7","abaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"8","abbe",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0.12,0,0.88,NA,NA,NA,NA,0.125,NA,NA,NA,NA,0.125,0.12,0.12
"9","abbes",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
"10","abbot",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0.5,0,0.5,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.5,0.5,0.5
"11","abbreviate",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"12","abdomen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"13","abdominal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"14","abduct",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0.12,0.88,NA,NA,NA,NA,-0.0625,NA,NA,-0.4,NA,-0.03125,-0.12,-0.12
"15","abduction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,1,0,NA,-1,-0.4,NA,-0.5,NA,-1,-0.4,NA,-0.5,-1,-0.8
"16","abductor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"17","abecedarian",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
