Ingressivo,Congressivo
ambiziosa,affabile
ambizioso,affabile
analitica,aperta
analitico,aperto
assertiva,armoniosa
assertivo,armonioso
audace,attenta
audace,attento
autonoma,collaborativa
autonomo,collaborativo
autosufficiente,compassionevole
autosufficiente,compassionevole
competitiva,comprensiva
competitivo,comprensiva
concentrata,comprensivo
concentrato,comprensivo
decisiva,cooperativa
decisivo,cooperativo
determinata,diplomatica
determinato,diplomatico
distaccata,disponibile
distaccato,disponibile
dominante,empatica
dominante,empatico
fiduciosa,flessibile
fiducioso,flessibile
guidata,gentile
guidato,gentile
impavida,inclusiva
impavido,inclusivo
indipendente,nutriente
indipendente,nutritiva
insensibile,paziente
insensibile,paziente
orientata agli obiettivi,ricettiva
orientato agli obiettivi,ricettivo
resiliente,solidale
resiliente,solidale
sicura di sé,tollerante
sicuro di sé,tollerante
strategica,unificante
strategico,unificante
