('GER1', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(0.37172642), 'p-value': 0.3087}
('GER2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(0.029880088), 'p-value': 0.4839}
('IS8_v2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-1.1719218), 'p-value': 0.8305}
('IS6_v2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.43737596), 'p-value': 0.5851}
('IS3', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(0.26708862), 'p-value': 0.279}
('IS2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(0.22361037), 'p-value': 0.3219}
('WEAT_7', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.044108186), 'p-value': 0.5347}
('WEAT_6', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(1.4263463), 'p-value': 0.0006}
('IS1', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.73448604), 'p-value': 0.9441}
('IS5', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.094247766), 'p-value': 0.5778}
('IS4', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.7346991), 'p-value': 0.9336}
('IS6', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.006769181), 'p-value': 0.5098}
('WEAT_7_v2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.8880897), 'p-value': 0.9589}
('GER1_v2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(0.10204364), 'p-value': 0.4381}
('WEAT_7_v3', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.98736787), 'p-value': 0.9757}
('IS7', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-1.0992358), 'p-value': 0.6663}
('IS8', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.83448386), 'p-value': 0.6628}
('IS7_v2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-1.4649737), 'p-value': 0.84}
('WEAT_8', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.3167376), 'p-value': 0.6815}
('GER2_v2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.45569718), 'p-value': 0.7603}
('WEAT_8_v2', 'WEAT', 'bert', 'is', '../results/adv_debias/is/temp_roberta_pretrained_model_mlm'): {'Effect Size': np.float32(-0.33718187), 'p-value': 0.7305}
